"Menu","Category","Sub-category","Order","Page name","Data source","Page key","What this page records and what users do with it"
"deep","Command Center","Alerts & Watchdog","1","Inventory Alerts","v_inventory_alerts","inventory_alerts","Every discrepancy the watch agent has found and nobody has fixed yet. Swept twice a day. An alert clears itself the moment the underlying problem is gone, so this list is never stale."
"deep","Command Center","Alerts & Watchdog","2","Watchdog — Latest Sweep","v_watchdog_current","watchdog_current","What the watchdog found on its most recent sweep, with the what, where, who is accountable, when it started, why it matters, how it was detected, what to do, and the arithmetic behind every figure."
"deep","Command Center","Alerts & Watchdog","3","Watchdog — Full Forensic Log","v_watchdog_log","watchdog_log","Every finding the watchdog has ever recorded, permanently. Append-only: nothing here can be edited or deleted, by anyone. Each row carries the full evidence as it stood at that moment, so a finding from months ago can be reproduced exactly."
"deep","Command Center","Alerts & Watchdog","4","Watchdog — Issue Timeline","v_watchdog_timeline","watchdog_timeline","Each issue across time: when it first appeared, how many sweeps it has survived, how many days it has persisted, who is accountable, and whether it is still open or has resolved itself."
"deep","Command Center","Alerts & Watchdog","5","Watchdog — Sweep History","v_watchdog_runs","watchdog_runs","Every sweep the watchdog has run: when, how long it took, how many findings it raised and the pounds and dollars flagged. Proof the monitoring actually ran."
"deep","Command Center","Alerts & Watchdog","6","Alert History","v_inventory_alert_history","inventory_alert_history","Every alert ever raised, when, how long it took to clear and how it was resolved. Permanent record for audit."
"deep","Command Center","Decisions Waiting","2","Allocation Queue","v_allocation_queue","allocation_queue","Every allocation request and where it stands. Nothing moves until it is approved. Denials require a written reason of twenty characters or more, enforced by the database."
"deep","Command Center","Decisions Waiting","3","Material With No Allocation","v_unrequested_material","unrequested_material","Material on hand with no approved allocation at all. This is the live exposure against the rule that nothing moves without approval."
"deep","Command Center","Decisions Waiting","4","Agent Recommendations","v_ceo_recommendations","ceo_recommendations","Every recommendation the watching agents have made, ranked by dollars at stake then severity, each naming the exact action to take."
"deep","Command Center","Decisions Waiting","5","Finding History & Plans","v_finding_history","finding_history","Every finding ever saved with the plan written for it, who it was assigned to, when it was due, the decision taken and by whom - including anything deliberately ignored and the reason. Searchable by date, filterable, and preserved exactly as it stood so it can be pulled back years later."
"deep","Command Center","Inventory Position","2","Stock Detail","v_stock_packages","stock_on_hand","Every package on hand as its own row with its Metrc tag, so any row can be traced. Shows stream, origin, who made it, supplier and inbound manifest, licence, location, testing state, quantity, days on hand, source harvest, what it was made from, and — where a trace is impossible — the reason why."
"deep","Command Center","Inventory Position","3","Grown vs Bought In","v_own_vs_bought","own_vs_bought","Every stream split by where it came from: grown by us, bought in from another licence, or origin not recorded. Nothing we grew is ever blended with anything we purchased."
"deep","Command Center","Inventory Position","4","True Production Position","v_production_true_position","production_true_position","Every stream in like-for-like dry-equivalent pounds, split by grown versus bought in, so nothing is double counted and nothing is overstated."
"deep","Command Center","Inventory Position","5","Fresh Frozen in Dry-Equivalent","v_fresh_frozen_equiv","fresh_frozen_equiv","Every fresh frozen package converted to the dried-flower pounds it actually represents, with the arithmetic shown on each row. Fresh frozen holds its water; only the dry-equivalent may be compared with dried flower."
"deep","Command Center","Inventory Position","6","Limit Status","v_storage_limit_status","storage_limit_status","Live position against every limit, with a plain verdict: within limits, approaching, over, or no limit set yet."
"deep","Command Center","Inventory Position","7","Moisture & Mass Balance","v_moisture_accounting","moisture_accounting","Every harvest reconciled: wet weight equals packaged plus recorded waste plus evaporated moisture. Proves nothing is missing, and flags any harvest that disagrees with the Metrc current weight."
"deep","Command Center","Laboratory & Quality","1","Laboratory Results (all tests)","v_lab_results","lab_results","Every package and its laboratory result: pass, fail, awaiting or never submitted, when it was submitted, when the result came back, how many days the laboratory took, when the certificate expires, whether we grew it or bought it, and from which supplier. NOTE: individual analyte values such as THC and terpene percentages are NOT available through the Massachusetts Metrc API - that endpoint returns an error for this state. Those come from the Certificate of Analysis document, linked on every row."
"deep","Command Center","Laboratory & Quality","2","Laboratory Turnaround","v_lab_turnaround_summary","lab_turnaround_summary","By product category: how many passed, failed, are still awaiting a result or were never submitted, the fail rate, and how long the laboratory takes on average and at worst."
"deep","Command Center","Laboratory & Quality","3","Fail Rate by Supplier","v_lab_fail_rate_by_origin","lab_fail_rate_by_origin","Fail rate and failed pounds by origin and supplier, so a supplier sending material that fails can be identified and charged back."
"deep","Command Center","Laboratory & Quality","4","Failed Testing — Ours or Theirs","v_failed_testing_by_origin","failed_testing_by_origin","Every failed package attributed. Material we grew is our loss and a process problem. Material we bought in is a supplier chargeback and must not be written off until the supplier has been approached."
"deep","Command Center","Laboratory & Quality","5","Issue Attribution","v_issue_attribution_summary","issue_attribution_summary","Every category of problem split between what we grew and what we bought in, with the dollars that are potentially recoverable from suppliers named separately from what is genuinely our loss."
"deep","Command Center","Loss & Accountability","1","Real Loss","v_real_loss_v2","real_loss_v2","Only losses that are genuinely losses, each with its confidence, the arithmetic used, and a drill into the records. Evaporated moisture, routine trim waste and variance against the company average are all deliberately excluded and the reason is stated."
"deep","Command Center","Loss & Accountability","2","Leadership Accountability","v_leadership_accountability","leadership_accountability","The people this board exists to monitor: every team member ranked by loaded annual cost, with their position, department, the violations in their area, their area conversion percentage, missing weight reports, blocked rooms, and a plain accountability note."
"deep","Command Center","Loss & Accountability","3","Cost Versus Output by Department","v_leadership_cost_vs_output","leadership_cost_output","Each department: headcount, weekly and annual loaded payroll cost, who the highest paid people are, saleable pounds produced in the last ninety days, and the labour cost per saleable pound."
"deep","Command Center","Loss & Accountability","4","Forensic Audit (latest)","v_forensic_audit_latest","forensic_audit","The full forensic audit: every measured metric with who is responsible, the verdict, the evidence behind it, and whether it improved or got worse since the last audit. Failures are listed first."
"deep","Command Center","Loss & Accountability","5","Forensic Audit History","v_forensic_audit_history","forensic_audit_history","Every audit ever run: date, how many metrics failed, how many were clean, the dollars identified and which sections failed - the permanent record that cannot be revised."
"deep","Command Center","Loss & Accountability","6","Finding Accountability","v_finding_accountability","finding_accountability","How findings are being handled: how many are open, planned, saved, on the to-do list, resolved or ignored, the dollars behind each state, and how many are past their due date."
"deep","Command Center","Overview","2","Inventory Position","v_tower_inventory_grouped","tower_inventory","The whole inventory position at a glance: every stream, grown versus bought in, testing state, ageing, and every control awaiting a decision. Each line drills into the records behind it."
